scenario_id,departure_aerodrome,destination_aerodrome,tma_point,fir_point,IAF,IF,FAP,dep_rwy,app_rwy,top_of_descent,cruising_level
1,FIMP,FMEE,SOBAT,SOBAT,0,0,0,14,14,,
2,FIMP,FMEP,SOBAT,SOBAT,0,0,0,14,14,,
3,FIMP,FIMR,IMPAN,FIMR,0,0,0,14,14,,
4,FIMP,FMMI,RASMA,RASMA,0,0,0,14,14,,
5,FIMP,FACT,SOBAT,SOBAT,0,0,0,14,14,,
6,FIMP,FAOR,SOBAT,SOBAT,0,0,0,14,14,,
7,FIMP,FSIA,DURDA,ALRAN,0,0,0,14,14,,
8,FIMP,OMDB,DURDA,ALRAN,0,0,0,14,14,,
9,FIMP,OEJN,DURDA,ALRAN,0,0,0,14,14,,
10,FIMP,LFPG,OKMAR,KARAT,0,0,0,14,14,,
11,FIMP,LFPO,OKMAR,KARAT,0,0,0,14,14,,
12,FIMP,YPPH,ATLOP,SOLIT,0,0,0,14,14,,
13,FIMP,EGLL,OKMAR,KARAT,0,0,0,14,14,,
14,FIMP,EGKK,OKMAR,KARAT,0,0,0,14,14,,
15,FIMP,EDDF,OKMAR,KARAT,0,0,0,14,14,,
16,FIMP,VIDP,TIKOL,BOBOD,0,0,0,14,14,,
17,FIMP,VABB,TIDUM,MURUS,0,0,0,14,14,,
18,FMEE,FIMP,SOBAT,SOBAT,EKBAL,MP889,CPEPT,14,14,,
19,FMEP,FIMP,SOBAT,SOBAT,EKBAL,MP889,CPEPT,14,14,,
20,FIMR,FIMP,FIMR,IMPAN,MP143,MP889,CPEPT,14,14,,
21,FMMI,FIMP,RASMA,RASMA,IMKOV,MP889,CPEPT,14,14,,
22,FACT,FIMP,SOBAT,SOBAT,EKBAL,MP889,CPEPT,14,14,,
23,FAOR,FIMP,SOBAT,SOBAT,EKBAL,MP889,CPEPT,14,14,,
24,FSIA,FIMP,ALRAN,DURDA,IMKOV,MP889,CPEPT,14,14,,
25,OMDB,FIMP,ALRAN,DURDA,IMKOV,MP889,CPEPT,14,14,,
26,OEJN,FIMP,ALRAN,DURDA,IMKOV,MP889,CPEPT,14,14,,
27,LFPG,FIMP,KARAT,OKMAR,IMKOV,MP889,CPEPT,14,14,,
28,LFPO,FIMP,KARAT,OKMAR,IMKOV,MP889,CPEPT,14,14,,
29,YPPH,FIMP,SOLIT,ATLOP,EKBAL,MP889,CPEPT,14,14,,
30,EGLL,FIMP,KARAT,OKMAR,IMKOV,MP889,CPEPT,14,14,,
31,EGKK,FIMP,KARAT,OKMAR,IMKOV,MP889,CPEPT,14,14,,
32,EDDF,FIMP,KARAT,OKMAR,IMKOV,MP889,CPEPT,14,14,,
33,VIDP,FIMP,BOBOD,TIKOL,IMKOV,MP889,CPEPT,14,14,,
34,VABB,FIMP,MURUS,TIDUM,IMKOV,MP889,CPEPT,14,14,,
35,FIMP,FMEE,SOBAT,SOBAT,0,0,0,32,32,,
36,FIMP,FMEP,SOBAT,SOBAT,0,0,0,32,32,,
37,FIMP,FIMR,IMPAN,FIMR,0,0,0,32,32,,
38,FIMP,FMMI,RASMA,RASMA,0,0,0,32,32,,
39,FIMP,FACT,SOBAT,SOBAT,0,0,0,32,32,,
40,FIMP,FAOR,SOBAT,SOBAT,0,0,0,32,32,,
41,FIMP,FSIA,DURDA,ALRAN,0,0,0,32,32,,
42,FIMP,OMDB,DURDA,ALRAN,0,0,0,32,32,,
43,FIMP,OEJN,DURDA,ALRAN,0,0,0,32,32,,
44,FIMP,LFPG,OKMAR,KARAT,0,0,0,32,32,,
45,FIMP,LFPO,OKMAR,KARAT,0,0,0,32,32,,
46,FIMP,YPPH,ATLOP,SOLIT,0,0,0,32,32,,
47,FIMP,EGLL,OKMAR,KARAT,0,0,0,32,32,,
48,FIMP,EGKK,OKMAR,KARAT,0,0,0,32,32,,
49,FIMP,EDDF,OKMAR,KARAT,0,0,0,32,32,,
50,FIMP,VIDP,TIKOL,BOBOD,0,0,0,32,32,,
51,FIMP,VABB,TIDUM,MURUS,0,0,0,32,32,,
52,FMEE,FIMP,SOBAT,SOBAT,ESTEK,0,EPNUK,32,32,,
53,FMEP,FIMP,SOBAT,SOBAT,ESTEK,1,EPNUK,32,32,,
54,FIMR,FIMP,FIMR,IMPAN,ESTEK,2,EPNUK,32,32,,
55,FMMI,FIMP,RASMA,RASMA,ESTEK,3,EPNUK,32,32,,
56,FACT,FIMP,SOBAT,SOBAT,ESTEK,4,EPNUK,32,32,,
57,FAOR,FIMP,SOBAT,SOBAT,ESTEK,5,EPNUK,32,32,,
58,FSIA,FIMP,ALRAN,DURDA,ESTEK,6,EPNUK,32,32,,
59,OMDB,FIMP,ALRAN,DURDA,ESTEK,7,EPNUK,32,32,,
60,OEJN,FIMP,ALRAN,DURDA,ESTEK,8,EPNUK,32,32,,
61,LFPG,FIMP,KARAT,OKMAR,ESTEK,9,EPNUK,32,32,,
62,LFPO,FIMP,KARAT,OKMAR,ESTEK,10,EPNUK,32,32,,
63,YPPH,FIMP,SOLIT,ATLOP,ESTEK,11,EPNUK,32,32,,
64,EGLL,FIMP,KARAT,OKMAR,ESTEK,12,EPNUK,32,32,,
65,EGKK,FIMP,KARAT,OKMAR,ESTEK,13,EPNUK,32,32,,
66,EDDF,FIMP,KARAT,OKMAR,ESTEK,14,EPNUK,32,32,,
67,VIDP,FIMP,BOBOD,TIKOL,ESTEK,15,EPNUK,32,32,,
68,VABB,FIMP,MURUS,TIDUM,ESTEK,16,EPNUK,32,32,,
