runway_id,airport_id,runway_ident,length_ft,width_ft,surface
1,1,14/32,11155,148,Asphalt
2,2,11293,10500,148,Asphalt
3,4,47027,3937,98,Asphalt
4,5,47423,10171,148,Asphalt
5,6,43466,10502,200,Asphalt
6,7,03L/21R,14501,197,Asphalt
7,8,13/31,9800,148,Asphalt
8,9,12R/30L,14764,197,Asphalt
9,10,16C/34C,13123,197,Asphalt
10,11,08L/26R,13845,148,Asphalt
11,12,45444,11811,148,Asphalt
12,13,44256,11155,148,Asphalt
13,14,09L/27R,12799,164,Asphalt
14,15,08R/26L,10827,148,Asphalt
15,16,07C/25C,13123,197,Asphalt
16,17,47423,14698,197,Asphalt
17,18,46631,14534,197,Asphalt
18,19,14/32,6726,148,Asphalt
